[2025-05-14 20:24:41] User: testUser | Event: Event | Description: User logged in
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: ADD_TO_CART
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: RESERVE_CART_FAILED
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: PURCHASE_CART_FAILED Failed to purchase cart
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: PURCHASE_CART_FAILED ship down
[2025-05-14 20:24:41] User: bob | Event: Event | Description: LOGIN
[2025-05-14 20:24:41] User: bob | Event: Event | Description: LOGIN_FAILED
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: PURCHASE_CART_FAILED ship down
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: ADD_TO_CART_FAILED fail
[2025-05-14 20:24:41] User: dup | Event: Event | Description: SIGNUP_FAILED
[2025-05-14 20:24:41] User: yaniv | Event: Event | Description: REMOVE_FROM_CART
[2025-05-14 20:24:41] User: null | Event: Event | Description: RESERVE_CART_FAILED
[2025-05-14 20:24:41] User: alice | Event: Event | Description: LOGIN
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: Successfully payed for cart
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: TokenService
[2025-05-14 20:24:41] User: username | Event: Event | Description: Shipping successful
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: UPDATE_MANAGER_PERMISSIONS_START
[2025-05-14 20:24:41] User: user1 | Event: Event | Description: SEND_OWNERSHIP_PROPOSAL_START
[2025-05-14 20:24:41] User: user1 | Event: Event | Description: SEND_OWNERSHIP_PROPOSAL_SUCCESS
[2025-05-14 20:24:41] User: manager1 | Event: Event | Description: MANAGER_REMOVE_PRODUCT_START
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: ADD_PRODUCT_START
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: UPDATE_PRODUCT_QUANTITY_START
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: UPDATE_PRODUCT_QUANTITY_SUCCESS
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: REMOVE_STORE_OWNER_START
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: REMOVE_PURCHASE_POLICY_START
[2025-05-14 20:24:41] User: manager1 | Event: Event | Description: RELINQUISH_MANAGEMENT_START
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: UPDATE_PURCHASE_POLICY_START
[2025-05-14 20:24:41] User: founder1 | Event: Event | Description: REOPEN_STORE_START
[2025-05-14 20:24:41] User: user1 | Event: Event | Description: RESPOND_TO_MANAGER_APPOINTMENT_START
[2025-05-14 20:24:41] User: user1 | Event: Event | Description: RESPOND_TO_MANAGER_APPOINTMENT_SUCCESS
[2025-05-14 20:24:41] User: manager1 | Event: Event | Description: MANAGER_ADD_PRODUCT_START
[2025-05-14 20:24:41] User: founder1 | Event: Event | Description: CLOSE_STORE_START
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: REMOVE_STORE_MANAGER_START
[2025-05-14 20:24:41] User: owner1 | Event: Event | Description: REMOVE_STORE_MANAGER_SUCCESS
[2025-05-14 20:24:41] User: user1 | Event: Event | Description: SEND_OWNERSHIP_PROPOSAL_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_PRODUCT_QUANTITY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: GET_CUSTOMER_INQUIRIES_START
